row,name,is_winner,win_pct_bps,win_pct_gps,win_pct_deuce,serve_win_pct_bps,serve_win_pct_gps,serve_pct_win_deuce,pct_ufcd_err,pct_opponent_fcd_err,pct_win_long_rallies,pct_win_long_rallies_initiated_by_opponent,pct_fcd_error_pts_rally,pct_unfcd_error_rally,pct_pts_won_af_return,pct_returnable,pct_in_play_return,pct_pts_won_fh_return,pct_pts_won_bh_return,pct_ace,pct_unreturnable_serve,pct_fcd_err_serve,pct_pts_won_sv_in_leq_3s_serve,pct_shots_cross,pct_shots_downM,pct_shots_downL,pct_shots_insideO,pct_shots_insideI,avg_win_pct_long_rally,var_win_pct_long_rally
254,Novak_Djokovic,1,0.6,0.4,0.6,0.2,0.6875,0.25,0.321428571,0.711340206,0.473684211,0.811320755,0.232044199,0.149171271,0.415730337,0.730337079,0.730337079,0.457142857,0.377777778,0.076086957,0,0.260869565,0.391304348,0.506726457,0.147982063,0.170403587,0.134529148,0.040358744,0.038677696,0.043840002
255,Novak_Djokovic,1,0.6,0.4,0.52,0.08,0.6,0.1,0.336734694,0.641509434,0.526315789,0.761904762,0.177339901,0.162561576,0.417475728,0.766990291,0.708737864,0.344827586,0.459016393,0.09,0.03,0.11,0.33,0.503184713,0.22611465,0.124203822,0.136942675,0.00955414,0.042691544,0.003130037
256,Rafael_Nadal,1,0.8,0.4,0.722222222,0.333333333,0.6,0.2,0.287671233,0.635416667,0.653846154,0.725,0.224852071,0.124260355,0.390804598,0.67816092,0.666666667,0.357142857,0.476190476,0.024390244,0,0.170731707,0.268292683,0.5078125,0.21875,0.125,0.14453125,0.00390625,0.050062736,0.028963042
257,Gael_Monfils,0,0.5,0,0.333333333,0,0.636363636,0.045454545,0.411214953,0.728571429,0.375,0.78,0.096045198,0.248587571,0.265822785,0.772151899,0.759493671,0.304347826,0.259259259,0.12244898,0,0.040816327,0.265306122,0.392857143,0.325,0.142857143,0.107142857,0.032142857,0.058979282,0.004763777
258,Grigor_Dimitrov,0,0.636363636,0.090909091,0.566666667,0.1,0.681818182,0.090909091,0.340136054,0.734848485,0.416666667,0.722891566,0.143369176,0.17921147,0.290322581,0.741935484,0.717741935,0.090909091,0.296703297,0.109677419,0.04516129,0.077419355,0.329032258,0.334140436,0.360774818,0.094430993,0.15496368,0.055690073,0.054658672,0.051912493
259,Novak_Djokovic,0,0.571428571,0.285714286,0.5,0.1,0.692307692,0.230769231,0.404761905,0.64556962,0.5,0.758064516,0.165644172,0.208588957,0.311688312,0.688311688,0.61038961,0.375,0,0.058139535,0.069767442,0.139534884,0.406976744,0.365,0.34,0.08,0.21,0.005,0.037025839,0.202304923
260,Fabio_Fognini,0,0.5,0.375,0.666666667,0.166666667,0.5,0.166666667,0.518518519,0.689655172,0.37037037,0.71875,0.156626506,0.337349398,0.111111111,0.722222222,0.666666667,0,0.16,0.042553191,0,0.191489362,0.29787234,0.47107438,0.297520661,0.090909091,0.107438017,0.033057851,0.038946974,0.015493662
261,Novak_Djokovic,1,1,0,0.75,0.25,0.8,0.2,0.275,0.721311475,0.609756098,0.666666667,0.227722772,0.108910891,0.442307692,0.769230769,0.769230769,0.5,0.419354839,0.081632653,0,0.204081633,0.387755102,0.412790698,0.308139535,0.104651163,0.174418605,0,0.066732307,0.067632479
262,Roger_Federer,1,1,0,0.625,0.166666667,0.625,0.125,0.452380952,0.60952381,0.448979592,0.739726027,0.153439153,0.201058201,0.365591398,0.806451613,0.731182796,0.34375,0.363636364,0.125,0,0.15625,0.4375,0.421524664,0.367713004,0.062780269,0.139013453,0.00896861,0.059155964,0.067315465
263,Novak_Djokovic,1,0.75,0,0.875,0.125,0.666666667,0.166666667,0.5,0.719298246,0.636363636,0.576923077,0.150537634,0.193548387,0.581395349,0.813953488,0.76744186,0.6,0.523809524,0.06,0,0.1,0.28,0.298387097,0.346774194,0.080645161,0.258064516,0.016129032,0.063597945,0.014084497
264,Alexander_Zverev,0,0.5,0,0.555555556,0.222222222,0.25,0,0.313432836,0.607142857,0.488372093,0.74,0.146341463,0.170731707,0.314814815,0.648148148,0.62962963,0.3,0.36,0.028985507,0,0.144927536,0.217391304,0.459893048,0.304812834,0.096256684,0.122994652,0.016042781,0.054716554,0.029312583
